ID,User_Query,Chatbot_Response,Category
841,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
842,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
843,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
844,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
845,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
846,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
847,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
848,I forgot my password.,Your account details have been successfully updated.,Account Help
849,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
850,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
851,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
852,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
853,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
854,I forgot my password.,Your account details have been successfully updated.,Account Help
855,I forgot my password.,Your account details have been successfully updated.,Account Help
856,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
857,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
858,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
859,Thank you for your help!,I’m here to help with any questions you have.,General
860,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
861,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
862,Thank you for your help!,I’m here to help with any questions you have.,General
863,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
864,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
865,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
866,Can you check the status of my order?,I have updated your order details as requested.,Order Support
867,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
868,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
869,Thank you for your help!,Have a great day!,General
870,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
871,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
872,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
873,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
874,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
875,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
876,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
877,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
878,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
879,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
880,Can you assist me?,I’m here to help with any questions you have.,General
881,Thank you for your help!,I’m here to help with any questions you have.,General
882,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
883,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
884,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
885,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
886,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
887,I want to delete my account.,Your account details have been successfully updated.,Account Help
888,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
889,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
890,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
891,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
892,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
893,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
894,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
895,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
896,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
897,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
898,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
899,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
900,I forgot my password.,Your account details have been successfully updated.,Account Help
901,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
902,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
903,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
904,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
905,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
906,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
907,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
908,Thank you for your help!,Have a great day!,General
909,Good morning!,Have a great day!,General
910,Can you check the status of my order?,I have updated your order details as requested.,Order Support
911,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
912,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
913,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
914,Thank you for your help!,Have a great day!,General
915,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
916,Can you assist me?,I’m here to help with any questions you have.,General
917,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
918,How can I change my email address?,Your account details have been successfully updated.,Account Help
919,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
920,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
921,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
922,Can you check the status of my order?,I have updated your order details as requested.,Order Support
923,Thank you for your help!,I’m here to help with any questions you have.,General
924,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
925,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
926,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
927,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
928,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
929,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
930,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
931,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
932,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
933,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
934,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
935,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
936,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
937,How can I change my email address?,Your account details have been successfully updated.,Account Help
938,Can you check the status of my order?,I have updated your order details as requested.,Order Support
939,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
940,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
941,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
942,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
943,Good morning!,I’m here to help with any questions you have.,General
944,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
945,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
946,Good morning!,I’m here to help with any questions you have.,General
947,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
948,Good morning!,I’m here to help with any questions you have.,General
949,I forgot my password.,Your account details have been successfully updated.,Account Help
950,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
951,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
952,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
953,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
954,Good morning!,I’m here to help with any questions you have.,General
955,How can I change my email address?,Your account details have been successfully updated.,Account Help
956,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
957,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
958,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
959,Can you assist me?,Have a great day!,General
960,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
961,I forgot my password.,Your account details have been successfully updated.,Account Help
962,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
963,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
964,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
965,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
966,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
967,Can you assist me?,Have a great day!,General
968,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
969,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
970,Can you check the status of my order?,I have updated your order details as requested.,Order Support
971,Can you check the status of my order?,I have updated your order details as requested.,Order Support
972,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
973,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
974,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
975,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
976,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
977,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
978,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
979,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
980,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
981,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
982,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
983,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
984,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
985,Can you check the status of my order?,I have updated your order details as requested.,Order Support
986,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
987,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
988,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
989,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
990,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
991,Good morning!,Have a great day!,General
992,How can I get a refund?,Refunds are processed within 5-7 business days.,Policy Info
993,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
994,Thank you for your help!,Have a great day!,General
995,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
996,I want to delete my account.,Your account details have been successfully updated.,Account Help
997,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
998,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
999,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
1000,Can you assist me?,I’m here to help with any questions you have.,General
